jenis_kejahatan,crime_total
Menghalangi Penyidikan,0
Menghambat Penyidikan,0
Menghancurkan / Merusak Barang,0
Menghancurkan atau merusak barang,0
Menyebabkan Orang Mati Karena Kelalaian,0
Narkotika (Narkoba),0
Nepotisme,0
Operasional Pelabuhan Ilegal,0
Over Dimensi,0
Pelanggaran Administratif Berujung Pidana,0
Pelanggaran Dalam Hal Penyampaian Pendapat Di Muka Umum,0
Pelanggaran hak konsumen,0
Pelanggaran Keselamatan Kerja,0
Pelanggaran Kesusilaan Digital,0
Pelanggaran Ketentuan Perbankan Syariah (P2SK),0
"Pelanggaran Mengenai Tanah, Tanaman, dan Perkarangan",0
Pelanggaran perlindungan konsumen,0
Pelanggaran Terhadap Rahasia Jabatan,0
Pelayaran,0
Pelecehan Seksual Fisik,0
Pemain Judi,0
Pemalsuan,0
Pemalsuan Data,0
Pemalsuan merek negara,0
Pemalsuan surat (dokumen),0
Pemalsuan Surat Berharga/Akta Autentik,0
Pemalsuan Surat Medis,0
Pemalsuan Surat Umum,0
Pemalsuan Uang,0
Pembajakan Komersial,0
Pembakaran/Ledakan/Banjir (Sengaja),0
Pembocoran Dokumen Rahasia Negara,0
Pembukaan Data Rahasia,0
Pemerasan (dengan kekerasan),0
Pemerasan (Extortion),0
Pemerasan dengan pemberatan (luka/mati/kelompok),0
Pemindahtanganan IUP/IUPK/IPR/SIPB,0
Penadahan Ringan,0
Pencabulan paksa,0
Pencatatan Palsu/Fraud,0
Pencemaran lingkungan karena kelalaian,0
Pencemaran Lisan,0
Pencemaran Tertulis,0
Pencucian Uang (TPPU) Aktif,0
Pencucian Uang/Money Loundry,0
Pencurian,0
Pencurian biasa 63,0
Pencurian dalam keluarga (harta campur) 71,0
Pencurian dalam keluarga (Harta pisah/Kerabat),0
Pencurian Data Elektronik,0
Pencurian dengan Cara Merusak/Memanjat/Kunci Palsu,0
Pencurian dengan kekerasan (Curas),0
Pencurian dengan Kekerasan (Curas/Begal),0
Pencurian dengan pemberatan (Curat),0
Pencurian dengan pemberatan (Curat) 64,0
Pencurian Secara Bersama-sama dan Bersekutu,0
Penelantaran Orang Tanggungan,0
Pengalihan tanggung jawab,0
Pengalihan/penggadaian/penyewaan objek Fidusia tanpa persetujuan,0
Pengancaman (Blackmail),0
Pengancaman Berat (Lisan),0
Pengancaman Elektronik,0
Pengancaman terbuka 29,0
Penganiayaan 45,0
Penganiayaan berat (Anirat),0
Penganiayaan Biasa,0
Penganiayaan Ringan,0
Penganiayaan ringan 49,0
"Penganiayaan terhadap binatang sengaja membuat sakit, cacat, merusak kesehatan",0
PENGANIYAAN RINGAN,0
Pengedar/Bandar,0
Pengeluaran SDG Perkebunan Tanpa Izin,0
Pengeroyokan/Kekerasan massal,0
Penggelapan Biasa,0
Penggelapan dalam Jabatan/Pekerjaan,0
Penggunaan SDA Tanpa Izin Usaha,0
Penggunaan Surat Palsu,0
Penghinaan / Pencemaran Nama Baik,0
Penghinaan dengan tulisan,0
Penghinaan Ringan,0
Pengolahan Tanpa Izin,0
Pengrusakan,0
Penguasaan Narkotika dengan Pemberatan (Berat > 5 gram),0
Penguasaan/Kepemilikan Narkotika,0
Penimbunan barang pokok,0
Penipuan (Fraud),0
Penipuan Hak Tanah (Stellionata),0
Penipuan Melalui Media Elektronik,0
Penipuan prospektus saham/obligasi,0
Penipuan Ringan,0
Penipuan terhadap pembeli,0
Penipuan Transaksi Elektronik,0
Penipuan/perbuatan curang,0
Penjual Minuman Keras ( Miras ),0
Penodaan agama,0
Penyalah Guna Narkotika,0
Penyalahguna,0
Penyalahgunaan BBM Subsidi,0
Penyalahgunaan Dana Penanganan Fakir Miskin,0
"Penyalahgunaan sajam, senpi, dan handak",0
Penyalahgunaan wewenang/jabatan,0
Penyanderaan,0
Penyebaran Berita Bohong,0
Penyelenggaraan tanpa izin,0
Penyelundupan,0
Penyelundupan antar-area media pembawa,0
Penyelundupan impor media pembawa,0
Penyelundupan Senjata Api/Arm Smugling,0
Penyerobotan Lahan Perkebunan,0
Penyerobotan/Penipuan hak tanah,0
Penyimpanan Tanpa Izin,0
Penyimpanan/Niaga Ilegal,0
Perampasan,0
Perbuatan Tidak Menyenangkan,0
"Perbuatan-perbuatan yang dapat merugikan, menyusahkan dan mendatangkan bahaya lalu lintas di jalan umum",0
Percobaan Pembunuhan,0
Perdagangan Orang,0
Peredaran Obat Online Ilegal,0
Perkelahian Pelajar/Mahasiswa,0
Perkelahian Tanding,0
Pernikahan di bawah umur,0
Perompakan/Pembajakan,0
Perompakan/pembajakan (dalam Negeri/lokal),0
Persetubuhan dengan Anak,0
Persetubuhan dengan anak di bawah umur,0
Persetubuhan Terhadap Anak,0
Pertambangan Ilegal (PETI),0
Perusakan Barang Milik Orang Lain,0
Perusakan barang/hewan,0
Perusakan Data Elektronik,0
Perusakan gedung/bangunan,0
Perusakan ringan,0
Perzinahan (Zina),0
Pesta Umum Tanpa Izin,0
Produk Non-SNI Wajib,0
Produksi/Distribusi Pornografi,0
